"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"071048","San Marco la Catola","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",480,"p","dato provvisorio"
"071048","San Marco la Catola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",963,"p","dato provvisorio"
"093039","San Martino al Tagliamento","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",717,"p","dato provvisorio"
"093039","San Martino al Tagliamento","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",727,"p","dato provvisorio"
"093039","San Martino al Tagliamento","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1444,"p","dato provvisorio"
"005099","San Martino Alfieri","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",335,"p","dato provvisorio"
"005099","San Martino Alfieri","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",323,"p","dato provvisorio"
"005099","San Martino Alfieri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",658,"p","dato provvisorio"
"023073","San Martino Buon Albergo","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",7714,"p","dato provvisorio"
"023073","San Martino Buon Albergo","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",7920,"p","dato provvisorio"
"023073","San Martino Buon Albergo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",15634,"p","dato provvisorio"
"001247","San Martino Canavese","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",403,"p","dato provvisorio"
"001247","San Martino Canavese","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",414,"p","dato provvisorio"
"001247","San Martino Canavese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",817,"p","dato provvisorio"
"076077","San Martino d'Agri","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",372,"p","dato provvisorio"
"076077","San Martino d'Agri","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",362,"p","dato provvisorio"
"076077","San Martino d'Agri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",734,"p","dato provvisorio"
"020059","San Martino dall'Argine","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",830,"p","dato provvisorio"
"020059","San Martino dall'Argine","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",884,"p","dato provvisorio"
"020059","San Martino dall'Argine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1714,"p","dato provvisorio"
"019091","San Martino del Lago","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",203,"p","dato provvisorio"
"019091","San Martino del Lago","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",205,"p","dato provvisorio"
"019091","San Martino del Lago","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",408,"p","dato provvisorio"
"078124","San Martino di Finita","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",502,"p","dato provvisorio"
"078124","San Martino di Finita","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",522,"p","dato provvisorio"
